packet_loss,N,success_probability
0.0,5,1.0
0.05,5,0.7737809374999998
0.1,5,0.5904900000000001
0.15,5,0.44370531249999995
0.2,5,0.3276800000000001
0.25,5,0.2373046875
0.3,5,0.16806999999999994
0.0,10,1.0
0.05,10,0.5987369392383787
0.1,10,0.3486784401000001
0.15,10,0.1968744043407226
0.2,10,0.10737418240000006
0.25,10,0.056313514709472656
0.3,10,0.028247524899999984
0.0,20,1.0
0.05,20,0.3584859224085419
0.1,20,0.12157665459056935
0.15,20,0.03875953108451433
0.2,20,0.011529215046068483
0.25,20,0.0031712119389339932
0.3,20,0.0007979226629761189
0.0,30,1.0
0.05,30,0.21463876394293727
0.1,30,0.04239115827521624
0.15,30,0.0076307595947894815
0.2,30,0.0012379400392853823
0.25,30,0.00017858209017001473
0.3,30,2.2539340290692216e-05
