Tag,Model,Latency,Leakage
v1.0.0,AegisGrid,0.9988,0.3560
v1.0.0,EncryptedOnly,0.9799,0.9300
v1.0.0,IEC62351,0.9499,0.8550
v1.0.0,IDSAdaptive,0.9699,0.6900
v2.0,AegisGrid,0.9989,0.3360
v2.0,EncryptedOnly,0.9799,0.9230
v2.0,IEC62351,0.9499,0.8440
v2.0,IDSAdaptive,0.9698,0.6780
v3.0-agentic,AegisGrid,0.9989,0.3500
v3.0-agentic,EncryptedOnly,0.9799,0.9290
v3.0-agentic,IEC62351,0.9498,0.8140
v3.0-agentic,IDSAdaptive,0.9698,0.6890
v3.0-final,AegisGrid,0.9989,0.3620
v3.0-final,EncryptedOnly,0.9799,0.9230
v3.0-final,IEC62351,0.9498,0.8420
v3.0-final,IDSAdaptive,0.9698,0.7020
v3.0-locked,AegisGrid,0.9989,0.3660
v3.0-locked,EncryptedOnly,0.9798,0.9140
v3.0-locked,IEC62351,0.9499,0.8440
v3.0-locked,IDSAdaptive,0.9698,0.6940
v3.3-experimental,AegisGrid,0.9989,0.3610
v3.3-experimental,EncryptedOnly,0.9798,0.9280
v3.3-experimental,IEC62351,0.9499,0.8570
v3.3-experimental,IDSAdaptive,0.9698,0.6880
v4.0-cyberphysical-fixed,AegisGrid,0.9989,0.3460
v4.0-cyberphysical-fixed,EncryptedOnly,0.9798,0.9290
v4.0-cyberphysical-fixed,IEC62351,0.9499,0.8470
v4.0-cyberphysical-fixed,IDSAdaptive,0.9699,0.6860
v4.0-cyberphysical,AegisGrid,0.9989,0.3880
v4.0-cyberphysical,EncryptedOnly,0.9798,0.9290
v4.0-cyberphysical,IEC62351,0.9499,0.8380
v4.0-cyberphysical,IDSAdaptive,0.9698,0.6960
v5-concept,AegisGrid,0.9989,0.3860
v5-concept,EncryptedOnly,0.9798,0.9180
v5-concept,IEC62351,0.9498,0.8160
v5-concept,IDSAdaptive,0.9698,0.6670
