#t loss entropy freq volt stab
1 0.05 0.1 50.0 1.00 1
2 0.05 0.1 50.0 1.00 1
3 0.05 0.1 50.0 1.00 1
4 0.05 0.1 50.0 1.00 1
5 0.05 0.1 50.0 1.00 1
6 0.05 0.1 50.0 1.00 1
7 0.05 0.1 50.0 1.00 1
8 0.05 0.1 50.0 1.00 1
9 0.05 0.1 50.0 1.00 1
10 0.05 0.1 50.0 1.00 1
11 0.05 0.1 50.0 1.00 1
12 0.05 0.1 50.0 1.00 1
13 0.05 0.1 50.0 1.00 1
14 0.05 0.1 50.0 1.00 1
15 0.05 0.75 49.96 1.00 0.95
16 0.05 0.75 49.92 1.00 0.9
17 0.05 0.75 49.88 1.00 0.85
18 0.05 0.75 49.84 1.00 0.8
19 0.05 0.75 49.8 1.00 0.75
20 0.05 0.75 49.76 1.00 0.7
21 0.05 0.75 49.72 1.00 0.65
22 0.05 0.75 49.68 1.00 0.6
23 0.05 0.75 49.64 1.00 0.55
24 0.05 0.75 49.6 1.00 0.5
25 0.05 0.75 49.56 1.00 0.45
26 0.05 0.75 49.52 1.00 0.4
27 0.05 0.75 49.48 1.00 0.35
28 0.05 0.75 49.44 1.00 0.3
29 0.05 0.75 49.4 1.00 0.25
30 0.05 0.75 49.36 1.00 0.2
31 0.05 0.1 49.36 1.00 0.2
32 0.05 0.1 49.36 1.00 0.2
33 0.05 0.1 49.36 1.00 0.2
34 0.05 0.1 49.36 1.00 0.2
35 0.05 0.1 49.36 1.00 0.2
36 0.05 0.1 49.36 1.00 0.2
37 0.05 0.1 49.36 1.00 0.2
38 0.05 0.1 49.36 1.00 0.2
39 0.05 0.1 49.36 1.00 0.2
40 0.05 0.1 49.36 1.00 0.2
41 0.05 0.1 49.36 1.00 0.2
42 0.05 0.1 49.36 1.00 0.2
43 0.05 0.1 49.36 1.00 0.2
44 0.05 0.1 49.36 1.00 0.2
45 0.15 0.95 49.32 1.00 0.15
46 0.165 0.95 49.28 1.00 0.1
47 0.18 0.95 49.24 1.00 0.05
48 0.195 0.95 49.2 1.00 0
49 0.21 0.95 49.16 1.00 0
50 0.225 0.95 49.12 1.00 0
51 0.24 0.95 49.08 1.00 0
52 0.255 0.95 49.04 1.00 0
53 0.27 0.95 49 1.00 0
54 0.285 0.95 48.96 1.00 0
55 0.3 0.95 48.92 1.00 0
56 0.315 0.95 48.88 1.00 0
57 0.33 0.95 48.84 1.00 0
58 0.345 0.95 48.8 1.00 0
59 0.36 0.95 48.76 1.00 0
60 0.375 0.95 48.72 1.00 0
61 0.39 0.95 48.68 1.00 0
62 0.405 0.95 48.64 1.00 0
63 0.42 0.95 48.6 1.00 0
64 0.435 0.95 48.56 1.00 0
65 0.45 0.95 48.52 1.00 0
66 0.465 0.95 48.48 1.00 0
67 0.48 0.95 48.44 1.00 0
68 0.495 0.95 48.4 1.00 0
69 0.51 0.95 48.36 1.00 0
70 0.525 0.95 48.32 1.00 0
71 0.54 0.95 48.28 1.00 0
72 0.555 0.95 48.24 1.00 0
73 0.57 0.95 48.2 1.00 0
74 0.585 0.95 48.16 1.00 0
75 0.6 0.95 48.12 1.00 0
76 0.615 0.95 48.08 1.00 0
77 0.63 0.95 48.04 1.00 0
78 0.645 0.95 48 1.00 0
79 0.66 0.95 47.96 1.00 0
80 0.675 0.95 47.92 1.00 0
81 0.05 0.1 47.92 1.00 0
82 0.05 0.1 47.92 1.00 0
83 0.05 0.1 47.92 1.00 0
84 0.05 0.1 47.92 1.00 0
85 0.05 0.1 47.92 1.00 0
86 0.05 0.1 47.92 1.00 0
87 0.05 0.1 47.92 1.00 0
88 0.05 0.1 47.92 1.00 0
89 0.05 0.1 47.92 1.00 0
90 0.05 0.1 47.92 1.00 0
91 0.05 0.1 47.92 1.00 0
92 0.05 0.1 47.92 1.00 0
93 0.05 0.1 47.92 1.00 0
94 0.05 0.1 47.92 1.00 0
95 0.05 0.1 47.92 1.00 0
96 0.05 0.1 47.92 1.00 0
97 0.05 0.1 47.92 1.00 0
98 0.05 0.1 47.92 1.00 0
99 0.05 0.1 47.92 1.00 0
100 0.05 0.1 47.92 1.00 0
