#t loss entropy cr_freq cr_volt cr_stab ss_freq ss_volt ss_stab mode
1 0.05 0.1 50.0 1.00 1 50.0 1.00 1 NORMAL
2 0.05 0.1 50.0 1.00 1 50.0 1.00 1 NORMAL
3 0.05 0.1 50.0 1.00 1 50.0 1.00 1 NORMAL
4 0.05 0.1 50.0 1.00 1 50.0 1.00 1 NORMAL
5 0.05 0.1 50.0 1.00 1 50.0 1.00 1 NORMAL
6 0.05 0.1 50.0 1.00 1 50.0 1.00 1 NORMAL
7 0.05 0.1 50.0 1.00 1 50.0 1.00 1 NORMAL
8 0.05 0.1 50.0 1.00 1 50.0 1.00 1 NORMAL
9 0.05 0.1 50.0 1.00 1 50.0 1.00 1 NORMAL
10 0.05 0.1 50.0 1.00 1 50.0 1.00 1 NORMAL
11 0.05 0.1 50.0 1.00 1 50.0 1.00 1 NORMAL
12 0.05 0.1 50.0 1.00 1 50.0 1.00 1 NORMAL
13 0.05 0.1 50.0 1.00 1 50.0 1.00 1 NORMAL
14 0.05 0.1 50.0 1.00 1 50.0 1.00 1 NORMAL
15 0.05 0.75 49.93 1.00 0.92 49.93 1.00 0.92 MITIGATE
16 0.05 0.75 49.86 1.00 0.84 49.86 1.00 0.84 MITIGATE
17 0.05 0.75 49.79 1.00 0.76 49.79 1.00 0.76 MITIGATE
18 0.05 0.75 49.72 1.00 0.68 49.72 1.00 0.68 MITIGATE
19 0.05 0.75 49.65 1.00 0.6 49.65 1.00 0.6 MITIGATE
20 0.05 0.75 49.58 1.00 0.52 49.58 1.00 0.52 MITIGATE
21 0.05 0.75 49.51 1.00 0.44 49.51 1.00 0.44 MITIGATE
22 0.05 0.75 49.44 1.00 0.36 49.44 1.00 0.36 MITIGATE
23 0.05 0.75 49.37 1.00 0.28 49.37 1.00 0.28 MITIGATE
24 0.05 0.75 49.3 1.00 0.2 49.3 1.00 0.2 MITIGATE
25 0.05 0.75 49.23 1.00 0.12 49.23 1.00 0.12 FAIL_SECURE
26 0.05 0.75 49.16 1.00 0.04 49.16 1.00 0.04 FAIL_SECURE
27 0.05 0.75 49.09 1.00 0 49.09 1.00 0 FAIL_SECURE
28 0.05 0.75 49.02 1.00 0 49.02 1.00 0 FAIL_SECURE
29 0.05 0.75 48.95 1.00 0 48.95 1.00 0 FAIL_SECURE
30 0.05 0.75 48.88 1.00 0 48.88 1.00 0 FAIL_SECURE
