#t loss entropy freq volt stab crypto latency cost recv state
1 0.05 0.1 50.0 1.00 1.0 0 1 2 1 NORMAL
2 0.05 0.1 50.0 1.00 1 0 1 2 1 NORMAL
3 0.05 0.1 50.0 1.00 1 0 1 2 1 NORMAL
4 0.05 0.1 50.0 1.00 1 0 1 2 1 NORMAL
5 0.05 0.1 50.0 1.00 1 0 1 2 1 NORMAL
6 0.05 0.1 50.0 1.00 1 0 1 2 1 NORMAL
7 0.05 0.1 50.0 1.00 1 0 1 2 1 NORMAL
8 0.05 0.1 50.0 1.00 1 0 1 2 1 NORMAL
9 0.05 0.1 50.0 1.00 1 0 1 2 1 NORMAL
10 0.05 0.1 50.0 1.00 1 0 1 2 1 NORMAL
11 0.05 0.1 50.0 1.00 1 0 1 2 1 NORMAL
12 0.05 0.1 50.0 1.00 1 0 1 2 1 NORMAL
13 0.05 0.1 50.0 1.00 1 0 1 2 1 NORMAL
14 0.05 0.1 50.0 1.00 1 0 1 2 1 NORMAL
15 0.05 0.75 50.0 1.00 1 1 2.5 7.5 1 MITIGATE
16 0.05 0.75 49.96 0.985 0.9 1 2.5 7.5 1 MITIGATE
17 0.05 0.75 49.92 0.97 0.8 1 2.5 7.5 1 MITIGATE
18 0.05 0.75 49.88 0.955 0.7 1 2.5 7.5 1 MITIGATE
19 0.05 0.75 49.84 0.94 0.6 1 2.5 7.5 1 MITIGATE
20 0.05 0.75 49.8 0.925 0.5 2 4 13 1 FAIL_SECURE
